"","text","screen_name","user_id","created_at","favorite_count","retweet_count","location","followers_count","friends_count","account_lang","lang"
"5328","@cyberinvasion @mneylon @1TomHickey Paid good money for a concert in Croke Park and for way too long had to listen to Bono and his political broadcast on behalf of Aung San Suu Ky. He’s stuck in everything but the crib like he’s actually relevant anymore. The music is secondary to his ego.","lileeny","244276771",2021-03-17 22:28:50,0,0,"Displaced Mayo Woman",1051,1834,NA,"en"
"5329","@1TomHickey @mneylon @cyberinvasion That’s great. Nothing like a brilliant concert.","lileeny","244276771",2021-03-17 22:41:54,0,0,"Displaced Mayo Woman",1051,1834,NA,"en"
"5330","@mneylon @cyberinvasion @1TomHickey Bought one expecting a music concert but ended up in an opinion fest. Was 2009. First U2 concert and last.","lileeny","244276771",2021-03-17 22:30:43,0,0,"Displaced Mayo Woman",1051,1834,NA,"en"
"5331","@theSupremeRk9s @Pokemon My favorite part of the concert","kingtrousers","1201259202502508544",2021-03-17 22:41:49,0,0,"The Internet",53,126,NA,"en"
"5332","A shower concert then ISWIS <U+0001F3A7>","EGODIMKPA","1010215891550826496",2021-03-17 22:41:41,0,0,"Nigeria",935,581,NA,"en"
"5333","@btcty @Betfair I’ll raise you <U+0001F602> Putin versus Biden no concert. Biden can barely stay awake, the other one plays with tigers and in a previous life was head of the KGB.","Ronniemarkets","1223841954",2021-03-17 22:41:27,1,0,"London, England",3983,783,NA,"en"
"5334","Awesome Performance by the GHS Concert Band! https://t.co/hjNeNQL7Nt","ghswolfpack","1655852101",2021-03-17 22:41:17,4,0,"Evans, GA",947,9,NA,"en"
"5335","@imminenceswe i had no money to buy tickets, so i was very very curious about, how these songs sound in a concert hall, with that big of an instrument. thank you guys so much
 &lt;3","nyctophob1a","1315660563033325568",2021-03-17 22:41:07,0,0,"",1,28,NA,"en"
"5336","Tickets are selling fast to our spring fundraiser! Don't miss your chance to get the tickets to our concert, featuring a mouthwatering 3-course dinner from @GrowingChefsON! Click here for tickets: https://t.co/XUkFDfmqdf https://t.co/9JFUm3GOEi","amabilechoirs","20620939",2021-03-17 22:40:55,3,3,"London, Canada",375,134,NA,"en"
"5337","@RealUnkle1932 That alone is amazing! Thank you for being so generous. Best of luck to everyone participating and let's all enjoy this concert! <U+2728>","Hagwolzen","1274475245869596673",2021-03-17 22:40:50,0,0,"Mexico",70,379,NA,"en"
"5338","@HHJKULT the online concert back in november god that was the only thing i could hear before it started","lisascottril","1294773706481254400",2021-03-17 22:40:49,2,0,"16 she/her",120,117,NA,"en"
"5339","nothing makes me feel quite as safe as living room concert thing of I'd Rather Be Sailing Michael Arden and Andy Mientus did. good vibes.","finleyherondale","1105151850511245313",2021-03-17 22:40:48,0,0,"Germany • <U+0001F3F3><U+FE0F><U+200D><U+0001F308> • 17",597,652,NA,"en"
"5340","i’m like 90% sure i’m missing his concert","harryvogue28","1282427145399046145",2021-03-17 22:40:32,0,0,"velvetoscar, my beloved",252,353,NA,"en"
"5341","GOOD SLUMBER WAKE ME IF SOMEONE MOVES (excluding the concert cuz i’m pretty sure i missed it but if i didn’t wake me) OR IF MYA EXPOSES ME #BYE","harryvogue28","1282427145399046145",2021-03-17 22:40:46,0,0,"velvetoscar, my beloved",252,353,NA,"en"
"5342","RAFFY, one die hard (DIE HARD TO THE NTH POWER) Jebbie, whom Jessi shared her concert stage in london, has uploaded his reaction.

Jessi
https://t.co/G76rOHgX3p
#WhatTypeofX_OUTNOW https://t.co/p6GDogyiso","jessivocalqueen","1355317768300584964",2021-03-17 22:40:40,2,0,"",98,37,NA,"en"
"5343","@EnswellJones Wait til you enter the Tiny Desk Concert rabbit hole.","TVSassone","19371702",2021-03-17 22:40:35,0,0,"Belmont, MA",1115,1182,NA,"en"
"5344","@EndlessJeopardy What is the Eine Sibcy Cline Nachtmusik Concert Fire?","ascannerburkely","803069588355354624",2021-03-17 22:40:34,0,0,"chaos at feast",1387,2947,NA,"en"
"5345","@theSupremeRk9s @JimmyWhetzel Why is the gay part of my heart screaming like a 14 year old girl at a BTS &amp; Billie Eilish mashup concert at this? <U+0001F923><U+0001F923> This is brilliant","Skarletmain0926","1304489830383054848",2021-03-17 22:40:34,0,0,"",11,56,NA,"en"
"5346","What's the first concert you are going to see when you can go to shows again? #concerts #livemusic https://t.co/3A7HhPGUKf","josjesworld","1364676064291692544",2021-03-17 22:40:23,0,0,"",14,142,NA,"en"
"5347","XPRESIDENTS - House Concert Series (2021) https://t.co/0X301v4k0e via @YouTube","Drink15","216962915",2021-03-17 22:40:19,0,0,"",1,26,NA,"en"
"5348","Last month, I leg sweeped your giant uncle at a #TameImpala concert","Confession_Bot","789695071050280960",2021-03-17 22:40:18,0,0,"Los Angeles, CA",39,110,NA,"en"
"5349","NYC Concert Venues Will Reopen Next Month https://t.co/sIFbiheWjS","creatorsnetwrk","20623432",2021-03-17 22:40:11,0,0,"Brooklyn, NY",21836,2951,NA,"en"
"5350","lovely meal was looking forward to but also, was relaxed as had got some Work done earlier +just listened to a nice Opera Concert online and that was alright /relaxing, even though the Sound quality on Zoom was /is terrible....
So when she sees me look so happy + relaxed, she","ThaisSher","194693353",2021-03-17 22:40:08,0,0,"Horsham..W1... UK... +Travels!",5619,846,NA,"en"
"5351","so post concert right, they’re all tired a little lethargic a little drained but in good spirits as they get to the hotel rooms and settle down and like jin’s just in his bed, reading, when the door creaks open. and normally jin’s used to this, the maknaes","butterlf540","1262008917141454848",2021-03-17 22:40:08,4,0,"",49,101,NA,"en"
"5352","come and sleep with him often, the weight of the concert and the adrenaline crash too much for them to handle alone so they come to the bed with jin and cuddle maybe talk a little bit and that’s normal, jin’s used to that","butterlf540","1262008917141454848",2021-03-17 22:40:08,4,0,"",49,101,NA,"en"
"5353","@TheRachLindsay I'm a ghostwriter and one of the last things I did was shadow a client for whom I'm ghosting her book and it was exciting because she is a 80s and 90s funk master and mean on that <U+0001F3B8>!!!! #POW!! Got tons of content at that concert!","Carsamonte","225136437",2021-03-17 22:40:04,4,0,"US",434,963,NA,"en"
"5354","@Loriahhhhh i’m putting money aside SPECIFICALLY to see him in concert again","eli_nealy","2383290756",2021-03-17 22:39:53,1,0,"",327,352,NA,"en"
"5355","y’all i literally hate myself we recorded for our orchestra concert today and the entire first take the bottom button of my shirt was unbuttoned <U+0001F62D>","mateomoboe","118204133",2021-03-17 22:39:47,5,0,"baltimore",801,526,NA,"en"
"5356","@isitreallymoira I was having one easy half 7 for the U2 concert https://t.co/kNinezLFiJ","jpt1980","24356956",2021-03-17 22:39:44,1,0,"Dunleer, Louth, Ireland",193,1809,NA,"en"
"5357","someone is streaming a bts concert https://t.co/4pZcWGg3tY","namgitrash","1015250018180190208",2021-03-17 22:39:39,1,0,"",2406,509,NA,"en"
"5358","happy birthday to hozier. the man whose music never fails to give me copious amounts of serotonin. nothing will ever come close to his use of imagery and symbolism - his lyricism is extraordinary. currently wishing i was back at his concert in 2018<U+0001F97A><U+270B>","G0THMARX","1129403233665986564",2021-03-17 22:39:37,0,0,"19 | she/her",55,172,NA,"en"
"5359","@Atlus_West There we go, right date this time lol

Definitely excited for this concert. Am curious though, will it be available later on to watch (like a vod) if you didn't buy a ticket? Would love to watch but I just don't have the time.

Also, really hope we get maybe an SMT V track there!","ChiztheBomb","739537806415003650",2021-03-17 22:39:28,6,0,"",296,469,NA,"en"
"5360","@Atlus_West Why is the concert mainly for Japan if smt v has a worldwide realese","sincere16418600","1349746445667196930",2021-03-17 22:39:27,1,0,"",4,52,NA,"en"
"5361","@DocMellyMel https://t.co/7DEtK3SAVC Not expecting a response but Chris (who I know personally &amp; never heard ever be bigoted, more self-deprecating) calling a white person that word (disparagingly) is that still too messed up or is it somehow POSSIBLE, to ""re-appropriate"" it?<U+0001F62C><U+0001F64F>","ZachAlexander37","21249113",2021-03-17 22:39:25,0,0,"Stratford, CT",286,1089,NA,"en"
"5362","@JustJared I love Wonho's cover too ~
talent <U+0001F499> Everyone buy your tickets for Wonho's online concert! and stream his album on YouTube and Spotify <U+0001F499>
#WONHO #<U+C6D0><U+D638>
@official__wonho
@OfficialMonstaX

 https://t.co/q5FGDcsu46","perky_bo","1058231985527697408",2021-03-17 22:39:19,4,0,"#0514 - OT7 ",1043,696,NA,"en"
"5363",""" never met any other man like him. and i mean that in like . . . the least cheesiest way possible. "" she's emitting another soft laugh, still attempting to keep her flushed cheeks at bay.

 "" you'll have to meet him soon, i'll make him put on a private concert for us. "" -- https://t.co/s1LZNYNWbo","modelefleur","1357169242597191683",2021-03-17 22:39:15,0,0,"admin is 21. #mimi",161,100,NA,"en"
"5364","nah wait the concert is at 3am? lmao","ReanXAlisa","1332920719143886849",2021-03-17 22:39:07,1,0,"",84,204,NA,"en"
"5365","my goal in life is to drag him to the next ptg concert https://t.co/lCqJScqJ4V","jinho_02","758185834516353025",2021-03-17 22:39:07,2,0,"shua wished me happy birthday",3252,1030,NA,"en"
"5366","How to silence a whole concert https://t.co/zJvCCp8lrv","MathildeRecurt","1162785245621604353",2021-03-17 22:38:54,1,0,"trying hard not to be a delulu",96,479,NA,"en"
"5367","I'm delighted to see the Patti Smith concert in Bath that got cancelled last year has been rescheduled for October this year and my ticket is still valid.","garethlpowell","14051882",2021-03-17 22:38:22,111,0,"Bristol, England",28988,11908,NA,"en"
"5368","I seen Travis Scott and Juicy J in concert. Smfh.... they both tore that mfka up!!","Doestaxxx","220450480",2021-03-17 22:38:21,0,0,"Miles....away from Detroit ",2716,976,NA,"en"
"5369","@MisterStars72 @ThatEricAlper I got lucky many years ago when be had a kinda pop up concert at Roseland in NYC. Considering it's Dylan the place is a small for him. Anyway I really had a treat being right on top of him and the band..
Speaking of The Band is one of my faves too.","Damnllama","977986220",2021-03-17 22:38:19,1,0,"New York, USA",133,353,NA,"en"
"5370","@AlfieIndra Can we hear this at the Tom Grennan concert?","JenksOliver","321379136",2021-03-17 22:38:09,0,0,"Newton Abbot",63,263,NA,"en"
"5371","Justin Bieber Peaches (Tiny Desk Concert Live) https://t.co/oc4qMDq63j PEACHES IS SO GOOD WTF <U+0001F62D><U+0001F62D><U+0001F62D>","vmin_joongi","183981721",2021-03-17 22:26:21,1,0,"UK <U+2654>",19290,19546,NA,"en"
"5372","Justin Bieber: Tiny Desk (Home) Concert https://t.co/G7Qf7qfsKs his voice has always been and still is incredible <U+2764><U+FE0F>","vmin_joongi","183981721",2021-03-17 22:38:05,0,0,"UK <U+2654>",19290,19546,NA,"en"
"5373","ATLUS Sound Team Composer Shoji Meguro has a special message from the SMT Live Stage! 

Join us this Saturday (3/20) for the Shin Megami Tensei 2021 Concert Event! 
Learn more: https://t.co/IZ3rqXznPC https://t.co/J5LVlLLh64","Atlus_West","19544520",2021-03-17 22:37:45,2416,417,"Irvine, California",318468,651,NA,"en"
"5374","man i miss the concert vibe","Kawaii_Lila","4895988919",2021-03-17 22:37:25,0,0,"Yeehaw state",152,128,NA,"en"
"5375","@futureAlvarez @WWENXT @WWE AEW employs the literal Covid God, the guy who has been begging for things to be reopened, the guy who performed a concert at a show where 7 people got Covid and his response was ""at least it wasn't 8""","Zoopie_Doop","1314756357741072385",2021-03-17 22:37:20,3,0,"",1,26,NA,"en"
"5376","You haven’t lived If you’ve never cried at a concert","pivilaboa666","1249164242126811142",2021-03-17 22:37:09,1,0,"",59,47,NA,"en"
"5377","@TThunderowl @dickjonasthe3rd @Eve6 I can’t explain it.  I’m not a huge fan of their albums either but seeing them live is one of the single best concert experiences I’ve ever had and I’ve seen some amazing concerts.  They play three+ hours straight with no breaks and it’s fucking kinetic.  You’ve got to be there.","BobRossLovesYou","115017847",2021-03-17 22:37:01,2,0,"California, USA",154,894,NA,"en"
"5378","@KiddyKongFacts ""But it's a kids game""

Yes and despite this, most of its marketing features young adults (or a mix of kids and adults) and a lot of Pokémon media is geared more towards that crowd (Pokémon Go, Detective Pikachu, Post Malone concert, nostalgia bait, etc). https://t.co/e078KCOGhZ","cacavanirich","342284537",2021-03-17 22:36:53,2,0,"Ireland",173,864,NA,"en"
"5379","i almost went to an alan walker concert and miku expo but ya know <U+0001F60D>","YOHIOIoid","1338524674486120451",2021-03-17 22:36:51,1,0,"Vocaloid world",99,462,NA,"en"
"5380","@emily_tweets Speaking of Flogging Molly, virtual concert tonight! Info...
https://t.co/tXsMc0pJpx","tompostable","1124116221685747712",2021-03-17 22:36:49,0,0,"Santa Cruz, Ca",493,1117,NA,"en"
"5381","@lawyersteve @ReturnofR Elvis was my first concert. My dad and me. Here in Memphis.","Cole61420840","1349003660152418315",2021-03-17 22:36:46,0,0,"",61,644,NA,"en"
"5382","Adorable Baby Crashes Daddy's Concert https://t.co/h6VTkf5hGo via @YouTube","seamusdoyle19","1121033697505968128",2021-03-17 22:36:45,0,1,"",0,8,NA,"en"
"5383","@madgrad2011 It Makes Me Ill has always been my favourite, although it’s hard to choose favourites with them. They were my first concert back in 2000 in Toronto and 10 year old me was devastated when they didn’t perform it <U+0001F923><U+0001F923> 

What about you?","drunknoona","1287536619650777088",2021-03-17 22:36:38,1,0,"<U+0001F49C>OT7<U+0001F49C>",387,382,NA,"en"
"5384","@PopRag some performances are. the whole concert is sitting in a vault and the release was set for 2005 and then shelved","discocontrol","1007898795466772480",2021-03-17 22:36:27,1,0,"england",3123,889,NA,"en"
"5385","@kuliuchis ed sheeran throughout his concert <U+0001F9CD>","daydreamofparis","1243009583963975680",2021-03-17 22:36:24,233,2,"she/her",476,394,NA,"en"
"5386","@robocosan #VtuberEn
Hello<U+30FC><U+30FC>Bo<U+30FC><U+30FC>
Today I'll make it as the task working day
There's 2 days to go before my live concert<U+0001F440><U+2763><U+FE0F>
#<U+30ED><U+30DC><U+30B8><U+30E5><U+30FC><U+30EB>","Boxi_375","994504810740178944",2021-03-17 22:36:22,19,0,"<U+3088><U+30FC><U+65C5><U+306B><U+3067><U+304B><U+3051><U+3068><U+308B>(<U+6D77><U+5916><U+5728><U+4F4F>)",2265,1548,NA,"en"
"5387","@mart0777 The Cool Police are yet to agree. Still. What a concert that was tonight.","according2mcgee","98877531",2021-03-17 22:36:22,0,0,"York, UK",6548,6869,NA,"en"
"5388","just got my spotify wrapped i’m in the .05% of views on anderson .paak’s tiny desk concert","lilycrand","3130205152",2021-03-17 22:36:19,4,0,"New York, NY",219,211,NA,"en"
"5389","@johnbrdgz I'll just laugh and go back to listening to the excellence that is Zara Larsson Live in Concert","auroraeau","2169912331",2021-03-17 22:36:17,1,0,"",205,200,NA,"en"
"5390","WAIT WTH I MISSED NIALLS CONCERT??? WHEN IT WAS AT WHAT TIME WHAAAATTT","tightropeXxX","1359588257567227914",2021-03-17 22:36:13,0,0,"Unlabeled   larrie",215,319,NA,"en"
"5391","@katy_vol6 i’m still disappointed in my self for living in minnesota and not going to that concert<U+0001F610>","FLICKERCHOIRS","1337840969669111810",2021-03-17 22:35:58,0,0,"till forever falls apart ",2245,1688,NA,"en"
"5392","I saw The Weeknd the same day he and Selena broke up and he literally stood in the same spot on the stage for the entire concert it made me nervous https://t.co/VzNEjP2U7J","alifanacct","1362580340955578377",2021-03-17 22:35:49,20,0,"",1305,94,NA,"en"
"5393","@debbie_rutgers @ThatEricAlper One of my top 3 Canadian bands that I've seen in concert, that I've seen in concert multiple times.","Loverofallmusic","569523009",2021-03-17 22:35:43,3,0,"Canada by way of England",144,391,NA,"en"
"5394","Start the day with @justinbieber Tiny Desk concert!","Cutepieew1","1230826694249828357",2021-03-17 22:35:30,0,0,"",11,69,NA,"en"
"5395","Winston-Salem native Tequla Wilson prepares for debut single concert https://t.co/qCjXL1mtiV https://t.co/5a2jRDnfqF","myfox8","5751952",2021-03-17 22:35:27,3,1,"Greensboro/Winston-Salem NC",144802,401,NA,"en"
"5396","@BeerEnGin1 It’s always been about people, taking personal responsibility. They’ll all be over each other in Concert Square and Mathew Street in a couple of months but it won’t be their fault. Businesses pay the price for individuals being idiots.","SPGPrescot","963133525342982144",2021-03-17 22:35:04,2,0,"Prescot, Lancashire ",120,171,NA,"en"
"5397","REQUEST @arashi5official @MTV #FridayLivestream 

It makes me happy to see ARASHI's concert.

Whenever You Call / Party Starters / Turning Up / IN THE SUMMER / Kaito / Sakura / Love Situation / Lucky Man
10","AiNo_ao5","159100288",2021-03-17 22:35:04,0,0,"",361,534,NA,"en"
"5398","Rep. Maloney on the Republicans found to be targeted by Russia to spread disinformation in a new US intel report: ""They’re willing to work in concert with Vladimir Putin and it sounds like something that’s an exaggeration, except it’s in black and white.” https://t.co/qg8By0wkqE","MSNBC","2836421",2021-03-17 22:35:04,445,191,"",4159528,769,NA,"en"
"5399","@bongolese Ireland v Holland televised at the second concert.  80,000 beer cups in air after McAteer scored <U+0001F1EE><U+0001F1EA><U+0001F602><U+0001F44D>","Merch74687349","1259734854629052418",2021-03-17 22:34:57,2,0,"",267,966,NA,"en"
"5400","@mistmarajj Exactly and it’s making me annoyed that I may never see my sis in concert but a BG did <U+0001F62D>","Onika4Barbz__","980188915457052672",2021-03-17 22:34:52,1,0,"Louisiana ",6550,4140,NA,"en"
"5401","When everyone leaves it’s my concert performance time<U+0001F602><U+0001F602><U+0001F602>","highbabey","556535694",2021-03-17 22:34:47,0,0,"Georgia, USA",1011,958,NA,"en"
"5402","i don’t care how much it cost I’m seeing @LILUZIVERT in concert after all this","ezmoneysnorter","3710889675",2021-03-17 22:34:34,1,0,"Brooklyn, New York",65,377,NA,"en"
"5403","hear me out besties, the rules are simple: Y'all will fucking wear your masks so I can experience a Harry Styles concert","itshesdimple","1172449917345902592",2021-03-17 22:34:30,0,0,"",44,70,NA,"en"
"5404","@ayyy_vuh as an mlm whose personal dress and grooming style is best described as ""someone at a Phish concert in 1994"", any straight man is welcome to my nail polish valor","kacpernedza","886381461389152256",2021-03-17 22:34:25,15,0,"Connecticut, USA",175,1490,NA,"en"
"5405","@xxddaengxx @serotonyeondan @namjnsmoonchild kinda late but i hope that bitch misses the next concert imagine taehyung looking at you like that wtf","predictae","1322991465182732291",2021-03-17 22:34:14,2,0,"",7246,6170,NA,"en"
"5406","Pastel Mini Jar Glass Earrings Pink, Blue, Green, Yellow&amp; Purple Concert Earrings  https://t.co/7f8FtoofNx. Spring, Easter or ?
https://t.co/9DJAgSGN1f https://t.co/FS8ta7NDPM","sweptawaytvnow","3075905908",2021-03-17 22:34:08,0,0,"South Florida USA",148,480,NA,"en"
"5407","@Phloxie_ Saw him in concert few days before covid lockdown last year. He is great","slimeech","215208974",2021-03-17 22:34:02,1,0,"Akure. Dublin City, Ireland",2269,1148,NA,"en"
